TRAINING PASS # 9
PREDICTED RESULTS: 0.218164 0.304585 0.48761 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.21899 0.305312 0.487885 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.220258 0.306426 0.488306 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.220076 0.306266 0.488247 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.219596 0.305845 0.488086 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.220402 0.306552 0.488353 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.220369 0.306524 0.488343 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.220045 0.306239 0.488236 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.219635 0.305878 0.488099 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.219919 0.306128 0.488194 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.220098 0.306286 0.488253 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.21967 0.30591 0.488111 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 29
PREDICTED RESULTS: 0.232595 0.313883 0.461725 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.231865 0.313209 0.460691 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.232044 0.313374 0.460945 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.233097 0.314347 0.462436 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.233463 0.314685 0.462952 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.232417 0.313719 0.461473 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.233029 0.314284 0.462339 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.232293 0.313604 0.461297 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.233013 0.31427 0.462317 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.232586 0.313875 0.461713 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.236132 0.317145 0.466706 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.23674 0.317704 0.467558 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.235935 0.316964 0.466431 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.234711 0.315836 0.46471 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.236077 0.317095 0.46663 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.236151 0.317163 0.466734 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.236171 0.317181 0.466762 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.236484 0.317468 0.467199 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.234579 0.315715 0.464525 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.236064 0.317082 0.466611 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.238076 0.318931 0.469425 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.237784 0.318664 0.469019 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.237127 0.31806 0.4681 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.238285 0.319123 0.469717 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.238206 0.319051 0.469608 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.237759 0.318641 0.468983 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.237219 0.318145 0.468229 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.237576 0.318473 0.468728 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.23778 0.31866 0.469012 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.237191 0.318119 0.46819 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 39
PREDICTED RESULTS: 0.238499 0.317973 0.448066 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.23886 0.318232 0.450313 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.238452 0.317939 0.44777 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.239213 0.318485 0.452516 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.239424 0.318636 0.45383 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.23881 0.318196 0.450007 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.238803 0.318191 0.44996 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.238636 0.318071 0.44892 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.238702 0.318119 0.449332 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.238648 0.31808 0.448992 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.24319 0.321326 0.477253 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.243403 0.321478 0.478579 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.242854 0.321086 0.475168 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.242057 0.320518 0.470218 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.243048 0.321225 0.476373 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.242949 0.321154 0.475761 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.243015 0.321201 0.47617 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.243135 0.321286 0.476911 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.241739 0.320291 0.468243 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.242945 0.321151 0.475736 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.244447 0.32222 0.485044 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.244123 0.32199 0.48304 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.243995 0.321898 0.482242 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.244575 0.322311 0.485839 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.244507 0.322262 0.485414 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.244192 0.322038 0.483463 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.243981 0.321889 0.482159 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.244084 0.321962 0.482798 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.244238 0.322072 0.483753 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.243919 0.321845 0.481777 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 49
PREDICTED RESULTS: 0.316579 0.385975 0.252759 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.282197 0.362493 0.342473 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.305145 0.378271 0.280193 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.298825 0.373969 0.296377 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.299177 0.374209 0.295458 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.299235 0.37425 0.295303 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.31499 0.384911 0.256431 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.303591 0.377216 0.284105 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.318667 0.387373 0.248 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.310622 0.381973 0.266758 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.194844 0.297077 0.651268 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.195765 0.297826 0.647755 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.19986 0.301135 0.632112 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.20564 0.305756 0.609969 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.196975 0.298807 0.643139 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.199851 0.301128 0.632145 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.198533 0.300066 0.637189 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.199149 0.300563 0.634832 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.213657 0.312071 0.579288 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.199026 0.300464 0.6353 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.188875 0.292187 0.67391 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.191222 0.294118 0.665031 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.189713 0.292878 0.670742 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.188444 0.291831 0.675534 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.188767 0.292098 0.674317 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.190239 0.29331 0.668754 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.190244 0.293315 0.668734 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.190652 0.29365 0.667189 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.189763 0.292919 0.670553 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.190751 0.293731 0.666815 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 59
PREDICTED RESULTS: 0.662193 0.434228 0.0200887 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.570325 0.415531 0.0357799 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.637665 0.429038 0.0235868 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.630821 0.427621 0.0246432 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.634794 0.428442 0.0240254 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.627372 0.426911 0.0251896 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.66175 0.434133 0.020148 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.636224 0.428739 0.0238062 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.667365 0.435347 0.0194051 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.652423 0.432139 0.0214301 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.0718388 0.288859 0.737503 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0762572 0.291476 0.718064 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0882102 0.297978 0.666704 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.106294 0.306567 0.593589 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0778403 0.292383 0.711151 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0891025 0.298433 0.662957 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0837287 0.29563 0.685719 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0883447 0.298047 0.666138 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.153938 0.324675 0.433264 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0851793 0.296401 0.67953 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0620767 0.282567 0.780974 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0660725 0.285236 0.763121 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0627144 0.283002 0.778122 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0615966 0.282237 0.783121 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0619793 0.2825 0.78141 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.064069 0.283915 0.772066 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0636534 0.283637 0.773924 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0646768 0.284319 0.769351 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0631929 0.283327 0.775982 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0644211 0.284149 0.770493 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 69
PREDICTED RESULTS: 0.759539 0.425325 0.00370533 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.672941 0.414287 0.00692986 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.738709 0.422471 0.00435741 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.731421 0.421514 0.00460228 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.735335 0.422031 0.00446957 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.728871 0.421178 0.00469018 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.75921 0.42528 0.00371506 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.73728 0.422282 0.00440473 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.763802 0.42593 0.00358022 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.751271 0.424175 0.00395587 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.0308783 0.306362 0.764747 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0342532 0.309128 0.734995 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0434153 0.315483 0.658184 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.058675 0.323664 0.546376 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0351235 0.309793 0.727436 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0443169 0.316039 0.650993 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.039763 0.313117 0.688021 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.043938 0.315814 0.654 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.110364 0.341496 0.303508 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0408704 0.313855 0.678858 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0249491 0.300726 0.818132 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0273047 0.303108 0.796812 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0252437 0.301034 0.815464 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0247066 0.300469 0.820331 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0248982 0.300672 0.818594 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0260676 0.301883 0.808 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0257947 0.301604 0.810472 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.026434 0.302251 0.804684 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0255417 0.301344 0.812763 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0262309 0.302046 0.806522 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 79
PREDICTED RESULTS: 0.812739 0.422984 0.00143257 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.707215 0.426718 0.00319651 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.791001 0.423784 0.00172858 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.774372 0.425033 0.00197351 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.777077 0.425098 0.00193116 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.77541 0.424751 0.00195861 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.810805 0.423203 0.00145715 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.787504 0.424091 0.00177837 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.816141 0.422931 0.00138873 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.802472 0.423566 0.00156778 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.0164917 0.307787 0.810685 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0183996 0.315296 0.782375 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0236501 0.331555 0.706954 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0322141 0.349476 0.597057 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0188066 0.316626 0.776441 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.023965 0.332387 0.702588 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0213805 0.325077 0.739024 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0240166 0.332745 0.701754 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0628575 0.383337 0.33987 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0220265 0.326986 0.729807 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0133514 0.293202 0.857205 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0145663 0.299327 0.839251 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0134904 0.293916 0.855165 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.013238 0.292603 0.85887 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0133204 0.293038 0.85766 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0139156 0.296115 0.848888 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0137931 0.295484 0.8507 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0141121 0.297095 0.845984 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0136189 0.29459 0.85327 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0139833 0.296434 0.847895 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 89
PREDICTED RESULTS: 0.894786 0.249287 0.000661359 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.812735 0.309808 0.00145774 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.881205 0.260359 0.000777646 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.867288 0.272523 0.000900271 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.868435 0.271993 0.000889024 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.868917 0.271029 0.000885809 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.893188 0.250887 0.000674302 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.878228 0.263174 0.000803083 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.896513 0.247983 0.000646769 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.887945 0.255469 0.000718281 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.0115371 0.247892 0.853552 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0129519 0.27378 0.823685 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0176719 0.347764 0.721572 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0249469 0.425796 0.579259 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.013249 0.278467 0.817483 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0174245 0.343996 0.727002 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0152675 0.311836 0.773757 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0179932 0.353318 0.714255 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0499961 0.551368 0.289016 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.0158937 0.3215 0.760146 
EXPECTED RESULTS: 0 1 0 
PREDICTED RESULTS: 0.00959623 0.211491 0.89198 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0102539 0.224008 0.87933 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00966485 0.212756 0.890693 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.0095446 0.210526 0.892948 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00957567 0.211104 0.892366 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00988537 0.216962 0.886484 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00984451 0.216172 0.887271 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00999454 0.219032 0.884384 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00970309 0.213484 0.889967 
EXPECTED RESULTS: 0 0 1 
PREDICTED RESULTS: 0.00990596 0.217307 0.886101 
EXPECTED RESULTS: 0 0 1 


TRAINING PASS # 99
PREDICTED RESULTS: 0.930547 0.134191 0.000305812 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.887945 0.183539 0.000537384 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.924182 0.141813 0.000338938 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.917468 0.15041 0.000373533 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.918031 0.149903 0.000370324 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.917933 0.14982 0.000371121 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.929828 0.135169 0.000309388 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.922663 0.143867 0.00034659 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.931315 0.133324 0.000301777 
EXPECTED RESULTS: 1 0 0 
PREDICTED RESULTS: 0.927242 0.138448 0.000322581 
EXPECTED RESULTS: 1 0 0 
